PMID,Subtype,Off_target_1_accumulation_(%),Off_target_1_accumulation
26062012,Iron_oxide,NA,NA
26065316,Iron_oxide,NA,NA
26093791,Gold,NA,NA
26093792,Silica,NA,NA
26097445,Silica,NA,NA
26115637,Silica,NA,NA
26140326,Iron_oxide,NA,NA
26151502,Iron_oxide,NA,NA
26204589,Gold,NA,NA
26220401,Silica,NA,NA
26225796,Silica,NA,NA
26228648,Silica,NA,NA
26238078,Iron_oxide,408.9285714,Kidney
26245739,Hybrid,22.2,Liver
26260703,Iron_oxide,764.4312708,Liver
26264644,Gold,145.3,Lung
26271820,Gold,NA,NA
26284300,Iron_oxide,NA,NA
26295434,Iron_oxide,NA,NA
26306782,Gold,321.7,Liver
26313344,Gold,88.5,Liver
26315815,Gold,NA,NA
26366746,Iron_oxide,NA,NA
26393884,Iron_oxide,NA,Liver
26403308,Silica,NA,NA
26404897,Silica,NA,NA
26454052,Gold,NA,NA
26468627,Hybrid,NA,NA
26471016,Iron_oxide,NA,NA
26491996,Hybrid,NA,Liver
26519651,Silica,9.4,Spleen
26540558,Hybrid,NA,NA
26549201,Gold,NA,NA
26554664,Silica,NA,NA
26574662,Hybrid,NA,Liver
26602632,Iron_oxide,131.7232376,Liver
26618618,Silica,48.5,Bladder
26621191,Silica,NA,Kidney 
26635317,Gold,202.3,Liver
26645884,Iron_oxide,NA,NA
26656627,Iron_oxide,NA,NA
26678549,Iron_oxide,NA,NA
26726809,Gold,NA,NA
26727423,Silica,NA,NA
26731347,Gold,344,Spleen
26732130,Silica,NA,NA
26754032,Iron_oxide,26.89655172,Liver
26757746,Gold,NA,NA
26763377,Silica,NA,NA
26766814,Iron_oxide,NA,NA
26773665,Silica,NA,NA
26807551,Silica,NA,NA
26815933,Gold,271,Spleen
26860283,Gold,49.2,Liver
26878142,Gold,63.8,Lung
26890691,Gold,NA,NA
26896610,Iron_oxide,7160.606061,Spleen
26897539,Gold,NA,NA
26900670,Gold,153.3,Liver
26945977,Silica,NA,NA
26956400,Gold,NA,NA
26960989,Silica,NA,NA
